merchant_name,category,zipcode,payment_type,transaction_amount,date_posted
Pizza Hot,Hobby,85265,AMX,308,9/13/2012
Pizza Hot,Entertainment,85265,AMX,329,9/13/2012
Pizza Hot,Education,85265,AMX,319,9/16/2012
Pizza Hot,Hobby,85265,AMX,382,9/17/2012
Pizza Hot,Hobby,85265,AMX,327,9/17/2012
Pizza Hot,Hobby,85265,AMX,388.39,9/17/2012
Pizza Hot,Entertainment,85265,AMX,402,9/17/2012
Pizza Hot,Vacation,85265,AMX,21111,9/17/2012
Pizza Hot,Hobby,85432,AMX,353,9/17/2012
Pizza Hot,Entertainment,85265,AMX,1000,9/17/2012
Pizza Hot,Hobby,85265,AMX,846.35,9/17/2012
Pizza Hot,Gamble,85265,AMX,300,9/17/2012
Pizza Hot,Entertainment,85265,AMX,4600,9/17/2012
Pizza Hot,Hobby,85265,VISA,335.27,9/17/2012
Pizza Hot,Food and Restaurent,85265,AMX,253,9/17/2012
Pizza Hot,Gamble,85265,AMX,350,9/17/2012
Pizza Hot,Entertainment,85265,AMX,2970,9/17/2012
Pizza Hot,Food and Restaurent,85432,AMX,500,9/17/2012
Pizza Hot,Education,85265,AMX,700,9/17/2012
Pizza Hot,Entertainment,85265,AMX,590,9/17/2012
Pizza Hot,Gamble,85265,MA,0,9/17/2012
Pizza Hot,Education,85432,AMX,1150,9/17/2012
Pizza Hot,Entertainment,85265,AMX,1186,9/17/2012
Pizza Hot,Education,85265,AMX,750,9/17/2012
Pizza Hot,Food and Restaurent,85265,MA,502.5,9/17/2012
Pizza Hot,Education,85432,AMX,165,9/17/2012
Pizza Hot,Food and Restaurent,85265,AMX,450,9/17/2012
Pizza Hot,Hobby,85265,AMX,158.72,9/17/2012
Pizza Hot,Hobby,85265,AMX,187,9/17/2012
Pizza Hot,Hobby,85265,AMX,1058,9/17/2012
Pizza Hot,Education,85265,Discover,1227,9/17/2012
Pizza Hot,Education,85265,VISA,450,9/17/2012
Pizza Hot,Hobby,85265,AMX,1129.31,9/18/2012
Pizza Hot,Food and Restaurent,85265,VISA,1977.1,9/18/2012
Pizza Hot,Entertainment,85432,AMX,923,9/19/2012
Pizza Hot,Hobby,85265,VISA,828.49,9/19/2012
Pizza Hot,Hobby,85265,VISA,249,9/19/2012
Pizza Hot,Entertainment,85265,AMX,2614,9/19/2012
Pizza Hot,Entertainment,85265,AMX,378,9/19/2012
Pizza Hot,Hobby,85265,AMX,537.4,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,393.79,9/19/2012
Pizza Hot,Hobby,85265,VISA,384,9/19/2012
Pizza Hot,Entertainment,85265,VISA,2018,9/19/2012
Pizza Hot,Hobby,85265,Discover,1201,9/19/2012
Pizza Hot,Entertainment,85265,AMX,460.25,9/19/2012
Pizza Hot,Entertainment,85265,AMX,2015.64,9/19/2012
Pizza Hot,Hobby,85265,Discover,603,9/19/2012
Pizza Hot,Hobby,85265,MA,112,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,169,9/19/2012
Pizza Hot,Hobby,85265,MA,438,9/19/2012
Pizza Hot,Education,85265,AMX,530,9/19/2012
Pizza Hot,Food and Restaurent,85432,Discover,136,9/19/2012
Pizza Hot,Entertainment,85265,AMX,222,9/19/2012
Pizza Hot,Education,85265,AMX,325,9/19/2012
Pizza Hot,Entertainment,85265,VISA,462,9/19/2012
